[-0.3352358490566041]
[0.04372641509433894]
[0.10202830188679363]
[0.02915094339622685]
[0.11660377358490456]
[0.0]
[0.8604775471698105]
[-0.7695849056603767]
[-0.05099572754716768]
[0.11301066981282923]
[0.09852771737793381]
[0.007670418227050559]
[-0.3524490511806628]
[0.8761919167062439]
[0.05037766924528349]
[0.19152634512339617]
[0.10149778081826878]
[0.05465941642352322]
[0.0]
[0.0]
[-0.16169613756554888]
[-0.3118094956349633]
[-0.6737468582740302]
[-0.7785145838755467]
[-0.5569838052425758]
[0.2981002836586354]
[0.08595566578344647]
[-0.3388219140772691]
[-0.2189153940904912]
[0.23428850293562592]
[0.22824678865596415]
[0.0]
[0.3835176943980686]
[0.2481470324533026]
[-0.7094219639807602]
[-0.13112083918733985]
[0.22087004715361805]
[-0.2216582587853597]
[0.06985512189011293]
[-0.07218284345080259]
[-0.15205075492912865]
[-0.16859564323151358]
[0.04127116078931657]
[0.11525137322957688]
[0.19731219099835748]
[-0.12059256644099016]
[0.1033489434697441]
[0.16933682821646018]
[0.04994710903562577]
[0.1989598435440662]
[0.17800260394153977]
[-0.05853253063833461]
[0.008038379183649115]
[-0.28734202089526684]
[0.04142346011693296]
[-0.27692390687306406]
[0.047923121997518324]
[-0.4525145989989905]
[0.20834054636372018]
[0.39635966651160986]
[-0.47458153440819023]
[-0.22493449706311358]
[0.006667286215183578]
[0.15933064977211686]
[0.08110415429487522]
[-0.03731167073519715]
[-0.04870570812585296]
[-0.005866240375444696]
[0.14349045628121204]
[0.26427553020801975]
[-0.03421236884098003]
[-0.11201001551455564]
[0.7668740233419444]
[0.15236726036592949]
[0.27491215305068895]
[-0.0662148144228197]
[0.09532516603535492]
[0.09323850108604231]
[0.007461621146795393]
[0.0028613295282606515]
[-0.12906217842882048]
[-0.12420293070235457]
[-0.012639055252074646]
[0.1621016928440661]
[0.1282783270070403]
[-0.07852504731802717]
[-0.052280183206036404]
[-0.01780377365597862]
[0.16605066744155622]
[-0.09227485645844231]
[-0.23699085817163895]
[-0.6996619462448141]
[0.009292606941264407]
